time_ms,roll_cdeg,pitch_cdeg,yaw_cdeg,alt_mm,top_pwm,bottom_pwm,roll_pwm,pitch_pwm,motors_enabled,uart_rx_errors,uart_rx_overflows,uart_bad_lines,telemetry_overrun,stop_reason
176040,-62,18,-112,334,700,700,1125,1125,0,1,0,0,0,2
176060,-62,18,-112,334,700,700,1125,1125,0,1,0,0,0,2
176080,-62,18,-112,334,700,700,1125,1125,0,1,0,0,0,2
176100,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176120,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176140,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,2
176160,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176180,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176200,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,2
176220,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,2
176240,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,2
176260,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,2
176280,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,2
176300,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176320,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176340,-62,18,-112,335,700,700,1125,1125,0,1,0,1,0,2
176360,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,2
176380,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,2
176400,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,2
176420,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,4
176440,-62,18,-112,334,700,700,1125,1125,0,1,0,1,0,4
176460,-62,18,-112,332,700,700,1125,1125,0,1,0,1,0,4
176480,-62,18,-112,332,700,700,1125,1125,0,1,0,1,0,4
176500,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,4
176520,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,4
176540,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,4
176560,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,4
176580,-62,18,-112,336,700,700,1125,1125,0,1,0,1,0,4
