time_ms,roll_cdeg,pitch_cdeg,yaw_cdeg,alt_mm,top_pwm,bottom_pwm,roll_pwm,pitch_pwm,motors_enabled,uart_rx_errors,uart_rx_overflows,uart_bad_lines,telemetry_overrun,stop_reason
20,0,18,0,0,700,700,1125,1125,0,0,0,0,0,5
40,0,18,0,0,700,700,1125,1125,0,0,0,0,0,5
60,0,12,0,339,700,700,1125,1125,0,0,0,0,0,5
80,0,12,0,339,700,700,1125,1125,0,0,0,0,0,5
100,0,12,0,339,700,700,1125,1125,0,0,0,0,0,5
120,0,12,0,339,700,700,1125,1125,0,0,0,0,0,5
140,6,12,0,339,700,700,1125,1125,0,0,0,0,0,4
160,12,12,0,336,700,700,1125,1125,0,0,0,0,0,4
180,0,6,0,336,700,700,1125,1125,0,0,0,0,0,4
200,-6,6,-6,336,700,700,1125,1125,0,0,0,0,0,4
