time_ms,roll_cdeg,pitch_cdeg,yaw_cdeg,alt_mm,top_pwm,bottom_pwm,roll_pwm,pitch_pwm,motors_enabled,uart_rx_errors,uart_rx_overflows,uart_bad_lines,telemetry_overrun,stop_reason
20,0,12,0,0,700,700,1125,1125,1,0,0,0,0,4
40,0,12,0,0,700,700,1125,1125,1,0,0,0,0,4
60,0,12,0,337,1050,1050,1125,1225,1,0,0,0,0,4
80,0,12,0,337,1050,1050,1125,1225,1,0,0,0,0,4
100,0,12,0,337,1050,1050,1125,1225,1,0,0,0,0,4
120,0,12,0,336,1050,1050,1125,1225,1,0,0,0,0,4
140,0,18,0,336,1050,1050,1125,1225,1,0,0,0,0,4
160,0,12,0,336,1050,1050,1125,1225,1,0,0,0,0,4
180,0,12,0,334,1050,1050,1125,1225,1,0,0,0,0,4
200,0,12,0,334,1050,1050,1125,1225,1,0,0,0,0,4
220,0,12,0,334,1050,1050,1125,1225,1,0,0,0,0,4
240,0,12,6,334,1050,1050,1125,1225,1,0,0,0,0,4
260,0,12,6,334,1050,1050,1125,1225,1,0,0,0,0,4
280,0,18,12,333,1050,1050,1125,1225,1,0,0,0,0,4
300,0,18,12,333,1050,1050,1125,1225,1,0,0,0,0,4
320,0,18,12,334,1050,1050,1125,1225,1,0,0,0,0,4
340,0,18,12,336,1050,1050,1125,1225,1,0,0,0,0,4
360,0,18,12,336,1050,1050,1125,1225,1,0,0,0,0,4
380,6,18,12,336,1050,1050,1125,1225,1,0,0,0,0,4
400,6,25,12,336,1050,1050,1125,1225,1,0,0,0,0,4
420,6,25,12,335,1050,1050,1125,1225,1,0,0,0,0,4
440,12,25,18,334,1050,1050,1125,1225,1,0,0,0,0,4
460,12,25,18,334,1050,1050,1125,1225,1,0,0,0,0,4
480,12,31,18,333,1050,1050,1125,1225,1,0,0,0,0,4
500,12,31,18,333,1050,1050,1125,1225,1,0,0,0,0,4
520,18,31,18,333,1050,1050,1125,1225,1,0,0,0,0,4
540,18,31,12,331,1050,1050,1125,1125,1,0,0,0,0,4
560,18,37,12,331,1050,1050,1125,1125,1,0,0,0,0,4
580,18,37,6,331,1050,1050,1125,1125,1,0,0,0,0,4
600,25,37,0,330,1050,1050,1125,1125,1,0,0,0,0,4
620,25,37,0,330,1050,1050,1125,1125,1,0,0,0,0,4
640,25,37,6,330,1050,1050,1125,1125,1,0,0,0,0,4
660,25,37,6,330,1050,1050,1125,1125,1,0,0,0,0,4
680,25,37,12,331,1050,1050,1125,1125,1,0,0,0,0,4
700,18,37,12,332,1050,1050,1125,1125,1,0,0,0,0,4
720,18,37,12,332,1050,1050,1125,1125,1,0,0,0,0,4
740,18,37,12,333,1050,1050,1125,1125,1,0,0,0,0,4
760,18,37,12,333,1050,1050,1125,1125,1,0,0,0,0,4
780,18,37,-6,333,1050,1050,1125,1125,1,0,0,0,0,4
800,12,37,-25,334,1050,1050,1125,1125,1,0,0,0,0,4
820,12,37,-25,334,1050,1050,1125,1125,1,0,0,0,0,4
840,6,37,-12,334,1050,1050,1125,1125,1,0,0,0,0,4
860,6,37,-12,334,1050,1050,1125,1125,1,0,0,0,0,4
880,0,37,12,334,1050,1050,1125,1125,1,0,0,0,0,4
900,0,37,25,334,1050,1050,1125,1125,1,0,0,0,0,4
920,0,37,25,334,1050,1050,1125,1125,1,0,0,0,0,4
940,-6,37,0,334,1050,1050,1125,1125,1,0,0,0,0,4
960,-6,37,0,334,1050,1050,1125,1125,1,0,0,0,0,4
980,-6,43,-25,334,1050,1050,1125,1125,1,0,0,0,0,4
1000,-6,43,-12,336,1050,1050,1125,1125,1,0,0,0,0,4
1020,-6,43,-12,336,1050,1050,1125,1125,1,0,0,0,0,4
1040,0,43,12,333,1050,1050,1125,1125,1,0,0,0,0,4
1060,0,50,31,335,1050,1050,1125,1125,1,0,0,0,0,4
1080,0,50,31,335,1050,1050,1125,1125,1,0,0,0,0,4
1100,0,50,12,335,1050,1050,1125,1125,1,0,0,0,0,4
1120,0,50,12,335,1050,1050,1125,1125,1,0,0,0,0,4
1140,6,56,-6,335,1050,1050,1125,1125,1,0,0,0,0,4
1160,12,56,-6,335,1050,1050,1125,1125,1,0,0,0,0,4
1180,12,56,-6,335,1050,1050,1125,1125,1,0,0,0,0,4
1200,12,56,18,333,1050,1050,1125,1125,1,0,0,0,0,4
1220,12,56,18,333,1050,1050,1125,1125,1,0,0,0,0,4
1240,6,56,25,334,1050,1050,1125,1125,1,0,0,0,0,4
1260,0,62,6,333,1050,1050,1125,1125,1,0,0,0,0,4
1280,0,62,6,333,1050,1050,1125,1125,1,0,0,0,0,4
1300,-6,62,-18,333,1050,1050,1125,1125,1,0,0,0,0,4
1320,-12,62,-25,333,1050,1050,1125,1125,1,0,0,0,0,4
1340,-31,62,-31,333,1050,1050,1125,1125,1,0,0,0,0,4
1360,-50,56,0,336,1050,1050,1125,1125,1,0,0,0,0,4
1380,-50,56,0,336,1050,1050,1125,1125,1,0,0,0,0,4
1400,-68,56,25,336,1050,1050,1125,1125,1,0,0,0,0,4
1420,-75,50,25,336,1050,1050,1125,1125,1,0,0,0,0,4
1440,-87,56,18,338,1050,1050,1125,1125,1,0,0,0,0,4
1460,-112,56,-31,338,1050,1050,1125,1125,1,0,0,0,0,4
1480,-112,56,-31,338,1050,1050,1125,1125,1,0,0,0,0,4
1500,-131,56,-50,338,1050,1050,1125,1125,1,0,0,0,0,4
1520,-150,50,-31,340,1050,1050,1125,1125,1,0,0,0,0,4
1540,-150,50,-31,340,1050,1050,1125,1125,1,0,0,0,0,4
1560,-181,43,-6,341,1050,1050,1125,1125,1,0,0,0,0,4
1580,-181,43,-6,341,1050,1050,1125,1125,1,0,0,0,0,4
1600,-193,43,-6,341,1050,1050,1125,1125,1,0,0,0,0,4
